0:
1:
2:
3:
4:
5:
6:
7:
8:
9:
10:
11:
12:
13:
14:
15:
16:
17:
18:
19:
20:
21:
22:
23:
24:
25:
26:
27:
28:
29:
30:
31:
32:
33:
34:
35:
36:
37:
38:
39:
40:
41:
42:
43:
44:
46:s[m]  beta_x[m] alpha_x gamma_x nu_x eta_x etap_x beta_y[m] alpha_y gamma_y nu_y eta_y etap_y
4.091700 12.292921 2.62313 0.641086 0.192033 -0.00690419 8.35413e-08  9.157419 0.616815 0.150748 0.087964 0. 0.
4.191700 12.823958 2.68724 0.641086 0.193301 -0.00690419 8.35413e-08  9.282289 0.631889 0.150748 0.089690 0. 0.
4.291700 13.367817 2.75135 0.641086 0.194516 -0.0069042 8.35413e-08  9.410174 0.646964 0.150748 0.091393 0. 0.
4.391700 13.924498 2.81546 0.641086 0.195683 -0.00690421 8.35413e-08  9.541075 0.662039 0.150748 0.093073 0. 0.
4.491700 14.494000 2.87957 0.641086 0.196803 -0.00690422 8.35413e-08  9.674990 0.677114 0.150748 0.094729 0. 0.
4.591700 15.076324 2.94367 0.641086 0.197880 -0.00690423 8.35413e-08  9.811920 0.692188 0.150748 0.096363 0. 0.
4.691700 15.671470 3.00778 0.641086 0.198915 -0.00690424 8.35413e-08  9.951865 0.707263 0.150748 0.097973 0. 0.
4.791700 16.279437 3.07189 0.641086 0.199912 -0.00690424 8.35413e-08 10.094825 0.722338 0.150748 0.099561 0. 0.
4.891700 16.900227 3.136 0.641086 0.200871 -0.00690425 8.35413e-08 10.240800 0.737413 0.150748 0.101126 0. 0.
4.991700 17.533838 3.20011 0.641086 0.201796 -0.00690426 8.35413e-08 10.389790 0.752487 0.150748 0.102669 0. 0.
5.091700 18.180270 3.26422 0.641086 0.202687 -0.00690427 8.35413e-08 10.541795 0.767562 0.150748 0.104190 0. 0.
5.191700 18.839525 3.32833 0.641086 0.203547 -0.00690428 8.35413e-08 10.696815 0.782637 0.150748 0.105689 0. 0.
5.291700 19.511601 3.39243 0.641086 0.204377 -0.00690429 8.35413e-08 10.854850 0.797712 0.150748 0.107166 0. 0.
5.391700 20.196499 3.45654 0.641086 0.205179 -0.00690429 8.35413e-08 11.015900 0.812787 0.150748 0.108622 0. 0.
5.491700 20.894218 3.52065 0.641086 0.205954 -0.0069043 8.35413e-08 11.179965 0.827861 0.150748 0.110056 0. 0.
5.591700 21.604759 3.58476 0.641086 0.206703 -0.00690431 8.35413e-08 11.347045 0.842936 0.150748 0.111469 0. 0.
5.691700 22.328122 3.64887 0.641086 0.207428 -0.00690432 8.35413e-08 11.517139 0.858011 0.150748 0.112861 0. 0.
5.791700 23.064307 3.71298 0.641086 0.208129 -0.00690433 8.35413e-08 11.690249 0.873086 0.150748 0.114233 0. 0.
5.891700 23.813313 3.77709 0.641086 0.208808 -0.00690434 8.35413e-08 11.866374 0.88816 0.150748 0.115584 0. 0.
5.991700 24.575142 3.8412 0.641086 0.209466 -0.00690434 8.35413e-08 12.045513 0.903235 0.150748 0.116915 0. 0.
6.091700 25.349791 3.9053 0.641086 0.210104 -0.00690435 8.35413e-08 12.227668 0.91831 0.150748 0.118227 0. 0.
6.191700 26.137263 3.96941 0.641086 0.210722 -0.00690436 8.35413e-08 12.412837 0.933385 0.150748 0.119518 0. 0.
6.291700 26.937556 4.03352 0.641086 0.211322 -0.00690437 8.35413e-08 12.601022 0.94846 0.150748 0.120791 0. 0.
6.391700 27.750671 4.09763 0.641086 0.211904 -0.00690438 8.35413e-08 12.792221 0.963534 0.150748 0.122045 0. 0.
7.003500 33.004489 4.48985 0.641086 0.215122 -0.00690443 8.35413e-08 14.027626 1.05576 0.150748 0.129316 0. 0.
