@ NAME             %08s "MY_MODEL"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "HALF2"
@ PARTICLE         %08s "ELECTRON"
@ MASS             %le      0.000510998928
@ CHARGE           %le                  -1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951268
@ KBUNCH           %le                   1
@ BCURRENT         %le               0.004
@ SIGE             %le              0.0004
@ SIGT             %le                   0
@ NPART            %le          4943825122
@ EX               %le               4e-08
@ EY               %le             2.5e-09
@ ET               %le                   1
@ LENGTH           %le             59.3655
@ ALFA             %le      0.001349613382
@ ORBIT5           %le                  -0
@ GAMMATR          %le         27.22045072
@ Q1               %le         3.141897484
@ Q2               %le         1.112909321
@ DQ1              %le        -1.770220824
@ DQ2              %le         1.375102477
@ DXMAX            %le          1.40616316
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         33.00448886
@ BETYMAX          %le         34.05604526
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le        0.5942542544
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %01s "s"
@ ORIGIN           %23s "MAD-X 5.02.00 Darwin 64"
@ DATE             %08s "23/10/14"
@ TIME             %08s "17.04.42"
* NAME                                S               BETX               BETY                 DX                DPX               ALFX               ALFY                MUX                MUY 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DID10"                            2.8        6.585967402        7.815460951    -0.006903609708    8.354131379e-08       -1.795040813      -0.4220936682       0.1691062224      0.06356750048
 "DID10"                            2.9        6.951386425        7.901387162    -0.006903601354    8.354131379e-08       -1.859149413       -0.437168442       0.1714585101      0.06559286354
 "DID10"                              3        7.329627167        7.990328328       -0.006903593    8.354131379e-08       -1.923258013      -0.4522432159       0.1736882679       0.0675959404
 "DID10"                            3.1         7.72068963        8.082284448    -0.006903584646    8.354131379e-08       -1.987366614      -0.4673179898       0.1758040158      0.06957647285
 "DID10"                            3.2        8.124573813        8.177255524    -0.006903576292    8.354131379e-08       -2.051475214      -0.4823927636       0.1778135867      0.07153423638
 "DID10"                            3.3        8.541279716        8.275241554    -0.006903567937    8.354131379e-08       -2.115583814      -0.4974675375       0.1797241824      0.07346903916
 "DID10"                            3.4        8.970807339        8.376242539    -0.006903559583    8.354131379e-08       -2.179692415      -0.5125423113       0.1815424272        0.075380721
 "DID10"                            3.5        9.413156682        8.480258478    -0.006903551229    8.354131379e-08       -2.243801015      -0.5276170852       0.1832744168      0.07726915215
 "DID10"                            3.6        9.868327745        8.587289373    -0.006903542875    8.354131379e-08       -2.307909615      -0.5426918591       0.1849257644       0.0791342322
 "DID10"                            3.7        10.33632053        8.697335222    -0.006903534521    8.354131379e-08       -2.372018216      -0.5577666329        0.186501642      0.08097588887
 "DID10"                            3.8        10.81713503        8.810396026    -0.006903526167    8.354131379e-08       -2.436126816      -0.5728414068       0.1880068187      0.08279407675
